STD_NO,STD_NAME,STD_MAJOR,STD_SCORE,STD_GENDER
20203784,홍길동,화학,2.1,M
20208142,박영희,경영학,0.27,M
20201042,양지훈,화학,0.6,F
20209515,이수정,기계공학,4.07,M
20205413,박영희,경영학,2.29,F
20208935,홍길동,경영학,3.11,F
20209745,박찬호,전자공학,0.81,M
20206239,이영수,컴퓨터공학,4.43,F
20201461,양지훈,경영학,2.38,F
20208534,강민수,컴퓨터공학,3.27,F
20204352,김철수,수학,2.25,M
20201613,이영수,경영학,1.77,F
20209054,한예슬,경영학,2.09,M
20209416,홍길동,전자공학,1.41,F
20203124,문준혁,기계공학,0.5,F
20201097,박찬호,화학,1.46,F
20207083,홍길동,경영학,4.48,F
20202494,한예슬,컴퓨터공학,3.55,M
20207064,문준혁,전자공학,1.81,F
20204753,김철수,전자공학,2.91,F
20209573,홍길동,수학,1.51,M
20201998,백지연,경영학,3.77,F
20201594,이영수,컴퓨터공학,1.35,F
20206136,홍길동,수학,1.13,F
20209233,서윤아,전자공학,2.02,M
20207638,홍길동,화학,2.41,F
20209574,양지훈,경영학,4.46,M
20201875,오세훈,물리학,0.3,M
20202090,한예슬,화학,4.44,F
20202847,문준혁,수학,1.76,M
20205110,이영수,기계공학,4.28,F
20202184,서윤아,컴퓨터공학,1.53,F
20204281,최지현,화학,2.59,M
20203284,박영희,경영학,3.09,M
20205648,김철수,컴퓨터공학,1.34,M
20206574,최지현,컴퓨터공학,3.25,F
20206647,문준혁,경제학,4.05,F
20206145,오세훈,컴퓨터공학,0.62,F
20203920,한예슬,컴퓨터공학,3.88,F
20205881,김철수,수학,1.48,F
20201173,홍길동,수학,0.15,F
20209580,백지연,경제학,2.13,M
20206889,이수정,경제학,1.18,M
20206071,김철수,전자공학,2.98,M
20205417,김철수,수학,3.47,M
20207485,문준혁,경제학,4.12,M
20206503,오세훈,경영학,3.22,M
20202248,조윤희,경제학,2.28,F
20205677,양지훈,기계공학,2.08,M
20208444,박찬호,경영학,1.94,M
20207174,홍길동,경제학,0.92,M
20205414,홍길동,물리학,0.67,F
20202265,최지현,화학,1.04,M
20208427,박찬호,전자공학,1.1,F
20207742,문준혁,화학,3.59,F
20209113,강민수,물리학,0.37,M
20201565,김철수,화학,0.76,F
20207378,한예슬,물리학,3.82,F
20201031,박찬호,화학,0.68,F
20204564,양지훈,컴퓨터공학,4.25,M
20205679,양지훈,물리학,2.68,F
20203952,양지훈,전자공학,3.93,M
20208226,양지훈,전자공학,2.28,F
20206629,박찬호,수학,1.71,F
20208018,홍길동,전자공학,0.2,F
20207759,강민수,컴퓨터공학,3.48,F
20209528,박영희,경영학,1.02,F
20201383,문준혁,화학,2.2,M
20208329,강민수,경제학,1.33,M
20201935,한예슬,수학,2.79,F
20206983,백지연,화학,0.37,M
20202962,홍길동,수학,0.11,M
20206315,박찬호,경제학,3.92,F
20206848,최지현,기계공학,3.22,M
20201701,최지현,전자공학,0.85,M
20204781,문준혁,물리학,1.62,F
20201207,박영희,화학,2.46,M
20207724,백지연,경영학,3.46,M
20205051,백지연,경영학,3.03,M
20209684,문준혁,경영학,2.58,M
20205518,문준혁,화학,2.87,F
20207746,서윤아,수학,3.74,M
20205985,박찬호,컴퓨터공학,2.36,M
20203462,오세훈,기계공학,3.02,M
20207424,박영희,물리학,1.18,F
20202971,홍길동,수학,3.76,F
20208005,이영수,경영학,3.59,M
20208064,박영희,경영학,2.76,M
20202769,이수정,화학,3.39,M
20202975,서윤아,기계공학,0.27,M
20201092,오세훈,기계공학,1.45,F
20201058,김철수,화학,1.49,M
20207628,최지현,화학,1.85,F
20207731,홍길동,경영학,1.56,M
20208278,강민수,경영학,0.58,F
20206344,강민수,컴퓨터공학,0.88,F
20209818,강민수,경영학,4.27,M
20201760,강민수,기계공학,0.19,F
20209350,서윤아,전자공학,0.51,F
20208964,이수정,전자공학,3.85,M
20215480,강민수,화학,0.86,M
20215978,박영희,수학,2.06,M
20214017,서윤아,경제학,3.23,M
20216640,오세훈,물리학,2.95,M
20211268,양지훈,기계공학,2.29,M
20218224,조윤희,컴퓨터공학,1.14,M
20212847,박영희,경영학,0.86,F
20217296,강민수,컴퓨터공학,2.8,M
20218529,문준혁,경영학,2.39,F
20218575,백지연,수학,4.24,M
20219985,한예슬,경영학,1.46,F
20213928,문준혁,경제학,2.29,M
20214195,박영희,수학,0.37,M
20211870,박영희,경영학,0.51,M
20211094,백지연,경영학,2.32,F
20212124,조윤희,화학,1.64,F
20215786,김철수,경제학,0.17,F
20213894,강민수,기계공학,0.31,M
20218689,조윤희,화학,1.57,F
20212144,서윤아,컴퓨터공학,2.14,F
20214873,김철수,화학,1.86,F
20219059,홍길동,기계공학,1.6,F
20214721,박영희,수학,0.44,F
20217156,이수정,전자공학,3.55,M
20217330,서윤아,수학,3.51,M
20217753,박찬호,전자공학,1.83,M
20216101,홍길동,전자공학,1.81,M
20217457,백지연,경제학,2.1,F
20212442,양지훈,전자공학,0.57,M
20218611,문준혁,경영학,1.03,F
20214517,이영수,화학,2.56,F
20217055,문준혁,수학,2.51,M
20214500,한예슬,물리학,2.01,F
20218536,박영희,화학,3.35,F
20219720,박찬호,전자공학,0.47,M
20217665,오세훈,수학,2.11,M
20216018,박찬호,경영학,0.16,M
20215434,박찬호,물리학,2.35,M
20215838,백지연,물리학,1.48,F
20211563,김철수,물리학,2.98,M
20215160,김철수,물리학,1.4,F
20219467,오세훈,화학,3.19,M
20211648,이영수,물리학,1.68,M
20212414,문준혁,기계공학,1.66,F
20217447,강민수,수학,1.43,M
20215775,홍길동,수학,3.05,F
20216098,강민수,물리학,2.39,M
20217427,이수정,기계공학,4.2,M
20216287,최지현,화학,4.29,M
20217104,한예슬,수학,1.43,M
20218677,이수정,컴퓨터공학,0.91,M
20213617,백지연,화학,1.6,F
20214475,박영희,화학,3.21,M
20213606,김철수,기계공학,3.86,F
20211465,서윤아,화학,3.37,M
20216932,오세훈,컴퓨터공학,1.82,F
20213290,이영수,경영학,2.9,M
20218940,홍길동,기계공학,1.34,M
20218774,조윤희,화학,0.12,M
20211011,조윤희,수학,2.47,F
20212845,백지연,수학,2.91,M
20211470,백지연,화학,1.9,F
20215934,문준혁,경제학,1.24,M
20217327,이수정,기계공학,0.43,F
20211543,이영수,컴퓨터공학,1.74,M
20214366,이수정,화학,4.19,M
20216645,백지연,경제학,0.11,F
20219000,양지훈,기계공학,1.58,F
20212058,조윤희,수학,0.58,M
20211302,김철수,경영학,3.35,F
20217502,강민수,경제학,1.1,M
20211068,한예슬,화학,0.94,M
20215268,이수정,경제학,3.5,M
20217670,김철수,전자공학,3.88,F
20217276,오세훈,수학,3.35,M
20211223,오세훈,경영학,3.65,F
20215499,김철수,경제학,0.42,F
20212575,홍길동,기계공학,0.09,M
20218263,양지훈,수학,1.43,F
20213667,양지훈,컴퓨터공학,3.85,F
20215124,이영수,전자공학,3.9,M
20219777,조윤희,경제학,3.13,F
20216582,문준혁,경영학,4.1,M
20213327,오세훈,컴퓨터공학,2.28,M
20212362,서윤아,물리학,2.72,F
20213420,박영희,물리학,4.41,F
20216354,오세훈,기계공학,0.22,F
20216229,조윤희,전자공학,0.77,M
20211197,오세훈,기계공학,3.83,M
20214198,한예슬,경영학,1.72,F
20216889,오세훈,화학,2.36,M
20219009,홍길동,경제학,2.69,M
20219251,오세훈,물리학,2.94,M
20217140,박영희,전자공학,2.86,M
20211631,양지훈,수학,2.39,M
20214858,홍길동,수학,3.21,M
20218134,오세훈,전자공학,1.73,F
20218628,홍길동,경영학,1.13,F
20212848,이수정,수학,0.14,F
20217564,양지훈,수학,2.62,M
20227600,서윤아,수학,1.16,F
20224658,한예슬,기계공학,1.32,M
20221228,최지현,컴퓨터공학,4.37,M
20227707,문준혁,컴퓨터공학,1.01,M
20223543,오세훈,전자공학,0.16,M
20227505,이영수,화학,3.01,M
20223745,서윤아,경제학,3.51,M
20227210,홍길동,컴퓨터공학,1.36,M
20221854,한예슬,물리학,0.98,M
20225653,백지연,기계공학,0.2,F
20228139,박찬호,전자공학,3.8,M
20221813,박찬호,기계공학,1.66,F
20229156,이수정,화학,2.45,M
20222621,박영희,컴퓨터공학,4.42,M
20229982,이영수,경제학,0.14,M
20228507,서윤아,기계공학,3.56,F
20229000,양지훈,경제학,4.16,F
20226300,강민수,컴퓨터공학,3.29,F
20226045,최지현,경제학,4.0,M
20221918,이영수,컴퓨터공학,3.22,M
20227339,박영희,수학,3.77,F
20223049,한예슬,전자공학,0.84,F
20226867,백지연,기계공학,1.76,F
20221696,강민수,경제학,2.56,M
20225727,이영수,컴퓨터공학,3.65,F
20221752,조윤희,물리학,1.24,M
20227309,강민수,기계공학,1.22,F
20224151,문준혁,경제학,0.93,M
20223223,박찬호,컴퓨터공학,4.41,M
20229756,서윤아,경영학,3.15,F
20223057,양지훈,경제학,0.05,F
20221716,양지훈,기계공학,2.36,M
20224862,한예슬,경영학,2.25,M
20227331,오세훈,수학,3.08,M
20223235,김철수,컴퓨터공학,2.52,F
20224208,홍길동,경영학,1.44,F
20222744,박영희,화학,0.95,M
20229958,이영수,기계공학,1.63,M
20221273,양지훈,물리학,1.45,F
20227593,문준혁,화학,0.82,M
20226990,홍길동,경영학,4.1,M
20227142,이영수,화학,3.98,M
20225623,홍길동,화학,3.75,M
20229050,김철수,전자공학,1.84,M
20222433,문준혁,경영학,1.98,F
20228166,강민수,화학,0.9,F
20222919,백지연,컴퓨터공학,1.05,F
20224951,박영희,전자공학,3.89,M
20227985,강민수,수학,2.7,F
20224891,양지훈,기계공학,3.9,M
20223291,조윤희,전자공학,1.59,M
20222001,박영희,기계공학,2.87,F
20223202,문준혁,경영학,3.4,F
20225932,박영희,전자공학,0.56,M
20222995,서윤아,컴퓨터공학,1.36,F
20226513,서윤아,물리학,3.84,M
20225207,이수정,컴퓨터공학,0.31,F
20224109,조윤희,경제학,3.7,M
20225257,오세훈,컴퓨터공학,2.65,F
20225826,한예슬,화학,1.63,F
20222895,조윤희,컴퓨터공학,1.37,M
20229172,강민수,경영학,2.6,M
20229608,한예슬,수학,3.62,F
20225683,백지연,수학,0.94,M
20223585,이수정,수학,0.08,F
20224231,백지연,경영학,4.02,M
20229819,서윤아,경제학,3.48,M
20225980,강민수,수학,3.47,F
